(1.1) Sub-Category from Category Set,(1.2) Sub-Category from Category Set,All-in-one Calc (1),All-in-one Calc (2),All-in-one Calc (3),Category,Colour by Category Level,Manufacturer,Order Date,Product Name,Sub-Category,Sales
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Southworth,15/11/2018,"Southworth 100% Résumé Paper, 24lb.",Paper,24.896
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,21/11/2018,Multicolor Computer Printout Paper,Paper,629.1
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Hammermil,22/11/2018,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Paper,9.96
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,28/11/2018,Xerox 1933,Paper,85.96
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,02/12/2018,"RSVP Cards & Envelopes, Blank White, 8-1/2"" X 11"", 24 Cards/25 Envelopes/Set",Paper,15.24
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,06/12/2018,Xerox 1909,Paper,42.208
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,07/12/2018,Xerox 1909,Paper,105.52
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,20/12/2018,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),Paper,25.92
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,23/12/2018,Computer Printout Paper with Letter-Trim Perforations,Paper,45.528
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,27/12/2018,Xerox 1983,Paper,23.92
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Easy-staple paper,09/01/2019,Easy-staple paper,Paper,106.32
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,09/01/2019,"Speediset Carbonless Redi-Letter 7"" x 8 1/2""",Paper,51.55
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,06/02/2019,Xerox 1920,Paper,29.9
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,07/02/2019,Xerox 1957,Paper,12.96
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Adams,19/03/2019,"Adams Telephone Message Books, 5 1/4” x 11”",Paper,14.496
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,21/03/2019,Xerox 1883,Paper,295.456
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,26/03/2019,Xerox 1988,Paper,74.352
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,06/04/2019,Xerox 1884,Paper,47.952
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,20/04/2019,Xerox 2,Paper,12.96
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,07/05/2019,Xerox 1902,Paper,45.68
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,26/05/2019,Xerox 1937,Paper,153.728
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,26/05/2019,Xerox 1991,Paper,18.272
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,08/06/2019,Xerox 1951,Paper,173.488
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,08/06/2019,Xerox 1963,Paper,42.24
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,11/06/2019,Xerox 222,Paper,32.4
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,13/06/2019,Xerox 202,Paper,6.48
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,13/06/2019,Xerox 204,Paper,32.4
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,18/06/2019,Xerox 21,Paper,20.736
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Easy-staple paper,02/07/2019,Easy-staple paper,Paper,11.952
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Things To Do,02/07/2019,Things To Do Today Pad,Paper,9.392
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,02/07/2019,Xerox 1957,Paper,15.552
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,13/07/2019,Xerox 1931,Paper,38.88
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,23/08/2019,Xerox 1890,Paper,97.88
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,23/08/2019,Xerox 1944,Paper,193.8
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,23/08/2019,Xerox 1962,Paper,21.4
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Ampad,04/09/2019,"Ampad Evidence Wirebond Steno Books, 6"" x 9""",Paper,4.36
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,04/09/2019,Xerox 1908,Paper,279.9
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,13/09/2019,Xerox 1948,Paper,69.93
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,15/09/2019,Xerox 21,Paper,15.552
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,21/09/2019,Xerox 193,Paper,23.92
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,22/09/2019,Xerox 214,Paper,32.4
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Advantus,25/09/2019,Advantus Motivational Note Cards,Paper,10.48
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,27/09/2019,Xerox 1988,Paper,154.9
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,13/11/2019,Xerox 1910,Paper,115.296
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,10/12/2019,Xerox 201,Paper,25.92
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,25/12/2019,Xerox 227,Paper,10.368
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,14/01/2020,Xerox 1882,Paper,89.568
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,05/02/2020,White Computer Printout Paper by Universal,Paper,348.84
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,05/02/2020,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Paper,122.97
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,05/02/2020,Xerox 1943,Paper,342.37
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,20/02/2020,"Speediset Carbonless Redi-Letter 7"" x 8 1/2""",Paper,16.496
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,15/03/2020,Xerox 1964,Paper,45.68
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,15/03/2020,Xerox 1964,Paper,319.76
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Wirebound,04/04/2020,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Paper,27.81
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,08/04/2020,Xerox 1993,Paper,25.92
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,TOPS,12/04/2020,"TOPS ""Important Message"" Pads, Canary, 4-1/4 x 5-1/2, 50 Sheets per Pad",Paper,10.272
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,12/04/2020,Xerox 1945,Paper,40.99
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Standard,16/04/2020,Standard Line “While You Were Out” Hardbound Telephone Message Book,Paper,123.088
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,01/05/2020,Xerox 1914,Paper,109.92
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,01/05/2020,Xerox 1994,Paper,19.44
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,05/05/2020,"Snap-A-Way Black Print Carbonless Speed Message, No Reply Area, Duplicate",Paper,93.248
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,05/05/2020,Xerox 1909,Paper,79.14
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,05/05/2020,Xerox 1965,Paper,14.352
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,14/05/2020,Xerox 23,Paper,31.104
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,23/05/2020,Xerox 1949,Paper,4.98
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,24/05/2020,Xerox 1911,Paper,191.6
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Wirebound,25/05/2020,"Wirebound Service Call Books, 5 1/2"" x 4""",Paper,19.36
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,28/05/2020,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),Paper,62.192
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,06/06/2020,Xerox 191,Paper,59.94
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,06/06/2020,Xerox 230,Paper,12.96
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,01/07/2020,Xerox 210,Paper,12.96
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,08/07/2020,Xerox 1921,Paper,15.984
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,HP,16/07/2020,HP Office Paper (20Lb. and 87 Bright),Paper,60.12
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,19/07/2020,Xerox 1893,Paper,245.94
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Advantus,25/07/2020,Advantus Motivational Note Cards,Paper,65.5
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,09/08/2020,Xerox 199,Paper,30.816
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Easy-staple paper,13/08/2020,Easy-staple paper,Paper,10.272
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,14/08/2020,Xerox 200,Paper,15.552
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,26/08/2020,Xerox 1944,Paper,31.008
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,04/09/2020,"RSVP Cards & Envelopes, Blank White, 8-1/2"" X 11"", 24 Cards/25 Envelopes/Set",Paper,12.192
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,04/09/2020,Xerox 1886,Paper,239.5
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox 1971,05/09/2020,Xerox 1971,Paper,10.272
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,08/09/2020,Petty Cash Envelope,Paper,64.704
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,14/09/2020,Xerox 224,Paper,25.92
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Southworth,18/09/2020,Southworth Parchment Paper & Envelopes,Paper,13.08
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,27/09/2020,Xerox 1965,Paper,17.94
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,14/10/2020,Xerox 1916,Paper,39.152
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,14/10/2020,Xerox 1944,Paper,93.024
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,31/10/2020,Xerox 1898,Paper,32.064
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,06/11/2020,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",Paper,88.768
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,06/11/2020,Embossed Ink Jet Note Cards,Paper,36.112
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,14/11/2020,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Paper,5.28
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,TOPS,24/11/2020,Tops Wirebound Message Log Books,Paper,10.528
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,25/11/2020,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Paper,5.08
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Easy-staple paper,26/11/2020,Easy-staple paper,Paper,70.98
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,12/12/2020,Xerox 1907,Paper,49.12
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,15/12/2020,Xerox 1958,Paper,19.44
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,25/12/2020,Xerox 1906,Paper,106.32
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,29/12/2020,Astroparche Fine Business Paper,Paper,25.344
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,29/12/2020,Xerox 1898,Paper,37.408
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,30/12/2020,Embossed Ink Jet Note Cards,Paper,72.224
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Things To Do,31/12/2020,Things To Do Today Pad,Paper,23.48
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,14/01/2021,Xerox 1931,Paper,36.288
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,03/02/2021,14-7/8 x 11 Blue Bar Computer Printout Paper,Paper,115.296
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Ampad,27/03/2021,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",Paper,17.64
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,09/04/2021,Xerox 1915,Paper,251.64
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,04/05/2021,"Black Print Carbonless Snap-Off Rapid Letter, 8 1/2"" x 7""",Paper,9.11
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,04/05/2021,Xerox 23,Paper,32.4
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,TOPS,19/05/2021,Tops White Computer Printout Paper,Paper,195.64
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,19/05/2021,Xerox 1945,Paper,286.93
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,19/05/2021,Xerox 1949,Paper,27.888
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,27/05/2021,Xerox 2,Paper,25.92
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Things To Do,02/06/2021,Things To Do Today Spiral Book,Paper,25.344
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,03/06/2021,Xerox 206,Paper,15.552
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Ampad,04/06/2021,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",Paper,12.48
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,05/06/2021,Xerox 227,Paper,20.736
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Easy-staple paper,09/06/2021,Easy-staple paper,Paper,49.12
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,15/06/2021,Xerox 1955,Paper,91.36
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,20/06/2021,Xerox 230,Paper,32.4
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,15/07/2021,Xerox 1999,Paper,12.96
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Adams,05/08/2021,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",Paper,13.76
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,12/08/2021,Xerox 2000,Paper,20.736
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Ampad,23/08/2021,"Ampad Evidence Wirebond Steno Books, 6"" x 9""",Paper,8.72
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,23/08/2021,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Paper,49.568
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,25/08/2021,Xerox 199,Paper,3.424
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,27/08/2021,Xerox 217,Paper,5.184
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,31/08/2021,Xerox 1945,Paper,229.544
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,04/09/2021,Xerox 213,Paper,10.368
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,05/09/2021,Xerox 220,Paper,15.552
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,09/09/2021,Xerox 1888,Paper,177.536
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,11/09/2021,Xerox 1935,Paper,184.66
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,14/09/2021,Xerox 1988,Paper,74.352
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,15/09/2021,Xerox 1893,Paper,163.96
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Easy-staple paper,17/09/2021,Easy-staple paper,Paper,106.32
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,18/09/2021,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad",Paper,50.96
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,18/09/2021,Xerox 1917,Paper,244.55
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,18/09/2021,Xerox 1997,Paper,25.92
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,22/09/2021,Xerox 219,Paper,12.96
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,23/09/2021,Xerox 1941,Paper,251.64
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,23/09/2021,Xerox 225,Paper,12.96
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,28/09/2021,Xerox 220,Paper,10.368
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,02/10/2021,Xerox 1996,Paper,20.736
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,03/10/2021,Xerox 208,Paper,15.552
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,09/10/2021,Avoid Verbal Orders Carbonless Minifold Book,Paper,10.816
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,12/10/2021,Xerox 1989,Paper,7.968
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,13/10/2021,Xerox 231,Paper,25.92
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,20/10/2021,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),Paper,14.352
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,REDIFORM,20/10/2021,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",Paper,6.672
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,20/10/2021,Xerox 1884,Paper,39.96
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Easy-staple paper,27/10/2021,Easy-staple paper,Paper,56.784
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,28/10/2021,Xerox 1936,Paper,47.952
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Strathmore,03/11/2021,Strathmore Photo Mount Cards,Paper,16.272
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,03/11/2021,Xerox 1923,Paper,10.688
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,03/11/2021,Xerox 1963,Paper,26.4
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,06/11/2021,Xerox 220,Paper,31.104
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,12/11/2021,Xerox 1968,Paper,26.72
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,13/11/2021,"""While you Were Out"" Message Book, One Form per Page",Paper,8.904
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,17/11/2021,Xerox 1938,Paper,268.24
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,18/11/2021,Xerox 194,Paper,44.384
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,18/11/2021,Xerox 211,Paper,41.472
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,18/11/2021,Xerox 221,Paper,20.736
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Wirebound,25/11/2021,"Wirebound Message Book, 4 per Page",Paper,48.87
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,REDIFORM,03/12/2021,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Paper,24.448
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,23/12/2021,"Ink Jet Note and Greeting Cards, 8-1/2"" x 5-1/2"" Card Size",Paper,44.96
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,25/12/2021,14-7/8 x 11 Blue Bar Computer Printout Paper,Paper,96.08
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,25/12/2021,Xerox 1915,Paper,629.1
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,SAFCO,26/01/2018,"SAFCO Commercial Wire Shelving, 72h",Storage,489.92
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,04/03/2018,Sensible Storage WireTech Storage Systems,Storage,354.9
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,19/03/2018,Crate-A-Files,Storage,26.16
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Tennsco,21/03/2018,Tennsco Commercial Shelving,Storage,16.272
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,SAFCO,04/04/2018,Safco Commercial Shelving,Storage,232.55
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,SAFCO,21/04/2018,"SAFCO Commercial Wire Shelving, Black",Storage,828.84
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,29/04/2018,2300 Heavy-Duty Transfer File Systems by Perma,Storage,99.92
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,30/04/2018,Economy Rollaway Files,Storage,826
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Fellowes,09/05/2018,Fellowes Super Stor/Drawer,Storage,83.25
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,02/06/2018,"Hot File 7-Pocket, Floor Stand",Storage,356.94
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,SAFCO,27/06/2018,"SAFCO Commercial Wire Shelving, 72h",Storage,306.2
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Space Solutions,19/08/2018,Space Solutions HD Industrial Steel Shelving.,Storage,344.91
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,19/09/2018,Project Tote Personal File,Storage,67.344
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Advantus,03/10/2018,Advantus Rolling Drawer Organizers,Storage,61.568
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Space Solutions,13/10/2018,Space Solutions Industrial Galvanized Steel Shelving.,Storage,315.2
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Gould Plastics,18/10/2018,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Storage,275.97
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,20/10/2018,"Contico 72""H Heavy-Duty Storage System",Storage,98.352
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Eldon,21/10/2018,"Eldon Base for stackable storage shelf, platinum",Storage,194.7
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,01/11/2018,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Storage,69.52
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Acco,03/11/2018,Acco Perma 4000 Stacking Storage Drawers,Storage,25.984
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Space Solutions,21/11/2018,Space Solutions Commercial Steel Shelving,Storage,193.95
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,SAFCO,20/12/2018,"SAFCO Commercial Wire Shelving, 72h",Storage,122.48
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Acco,23/12/2018,Acco Perma 3000 Stacking Storage Drawers,Storage,83.92
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Tennsco,23/12/2018,Tennsco 6- and 18-Compartment Lockers,Storage,424.272
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Tennsco,30/12/2018,Tennsco Industrial Shelving,Storage,39.128
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Tennsco,06/02/2019,Tennsco Industrial Shelving,Storage,146.73
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Iris,22/03/2019,"Iris 3-Drawer Stacking Bin, Black",Storage,150.408
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Eldon,23/03/2019,Eldon Shelf Savers Cubes and Bins,Storage,27.92
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Fellowes,08/06/2019,Fellowes Super Stor/Drawer Files,Storage,516.96
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Fellowes,11/06/2019,Fellowes High-Stak Drawer Files,Storage,563.808
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Tennsco,11/06/2019,Tennsco 16-Compartment Lockers with Coat Rack,Storage,1036.624
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Tennsco,18/06/2019,Tennsco Double-Tier Lockers,Storage,450.04
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Fellowes,14/09/2019,Fellowes Officeware Wire Shelving,Storage,269.49
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Decoflex,15/09/2019,"Decoflex Hanging Personal Folder File, Blue",Storage,24.672
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Gould Plastics,20/09/2019,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Storage,294.368
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Fellowes,21/09/2019,Fellowes Bankers Box Stor/Drawer Steel Plus,Storage,63.96
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,21/09/2019,Recycled Eldon Regeneration Jumbo File,Storage,85.96
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,21/09/2019,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Storage,887.84
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,SAFCO,22/09/2019,"Safco Wire Cube Shelving System, For Use as 4 or 5 14"" Cubes, Black",Storage,25.424
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Tennsco,22/09/2019,Tennsco Double-Tier Lockers,Storage,720.064
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Tennsco,10/10/2019,Tennsco Single-Tier Lockers,Storage,1801.632
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Eldon,22/10/2019,Eldon Simplefile Box Office,Storage,9.952
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,13/11/2019,Portfile Personal File Boxes,Storage,84.96
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,20/11/2019,Crate-A-Files,Storage,17.44
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Decoflex,01/12/2019,"Decoflex Hanging Personal Folder File, Blue",Storage,61.68
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Staple magnet,27/12/2019,Staple magnet,Storage,22.512
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,01/02/2020,X-Rack File for Hanging Folders,Storage,56.45
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Belkin,05/02/2020,"Belkin 19"" Vented Equipment Shelf, Black",Storage,154.44
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Carina,05/02/2020,"Carina 42""Hx23 3/4""W Media Storage Unit",Storage,80.98
