SongID,TimeStamp_Central,Performer,Album,Song,TimeStamp_UTC
Stop Breaking DownThe White Stripes,10/14/2019 12:33:00 PM,The White Stripes,The White Stripes,Stop Breaking Down,10/14/2019 5:33:00 PM
Cool KidsEchosmith,10/14/2019 12:30:00 PM,Echosmith,Talking Dreams,Cool Kids,10/14/2019 5:30:00 PM
Walk This Way (feat. Aerosmith)Run-D.M.C.,10/14/2019 12:24:00 PM,Run-D.M.C.,Raising Hell,Walk This Way (feat. Aerosmith),10/14/2019 5:24:00 PM
Fancy (feat. Charli XCX)Iggy Azalea,10/14/2019 12:21:00 PM,Iggy Azalea,The New Classic (Deluxe Version),Fancy (feat. Charli XCX),10/14/2019 5:21:00 PM
AnacondaNicki Minaj,10/14/2019 12:17:00 PM,Nicki Minaj,The Pinkprint (Deluxe Edition),Anaconda,10/14/2019 5:17:00 PM
Nuthin' But a G Thang (feat. Snoop Dogg)Dr. Dre,10/14/2019 12:13:00 PM,Dr. Dre,The Chronic,Nuthin' But a G Thang (feat. Snoop Dogg),10/14/2019 5:13:00 PM
California Love (Feat. Roger Troutman & Dr. Dre)2Pac,10/14/2019 12:08:00 PM,2Pac,The Best of 2Pac Pt. 1: Thug,California Love (Feat. Roger Troutman & Dr. Dre),10/14/2019 5:08:00 PM
Gin and Juice (feat. Dat N***a Daz)Snoop Dogg,10/14/2019 12:05:00 PM,Snoop Dogg,Doggystyle,Gin and Juice (feat. Dat N***a Daz),10/14/2019 5:05:00 PM
Guilty Conscience (feat. Dr. Dre)Eminem,10/14/2019 12:01:00 PM,Eminem,The Slim Shady LP (Expanded Edition),Guilty Conscience (feat. Dr. Dre),10/14/2019 5:01:00 PM
Speedom (Wwc2) [feat. Eminem & Krizz Kaliko]Tech N9ne,10/14/2019 11:56:00 AM,Tech N9ne,Special Effects (Deluxe Version),Speedom (Wwc2) [feat. Eminem & Krizz Kaliko],10/14/2019 4:56:00 PM
SugarSystem of a Down,10/14/2019 11:54:00 AM,System of a Down,System Of A Down (Bonus Pack),Sugar,10/14/2019 4:54:00 PM
My Own Summer (Shove It)Deftones,10/14/2019 11:50:00 AM,Deftones,Around the Fur,My Own Summer (Shove It),10/14/2019 4:50:00 PM
Bohemian RhapsodyQueen,10/14/2019 11:44:00 AM,Queen,A Night at the Opera (Deluxe Edition),Bohemian Rhapsody,10/14/2019 4:44:00 PM
Wasting TimeNathaniel Rateliff & the Night Sweats,10/14/2019 11:41:00 AM,Nathaniel Rateliff & the Night Sweats,Nathaniel Rateliff & The Night Sweats (Deluxe Edition),Wasting Time,10/14/2019 4:41:00 PM
Breaking the LawJudas Priest,10/14/2019 11:38:00 AM,Judas Priest,British Steel (30th Anniversary Edition),Breaking the Law,10/14/2019 4:38:00 PM
2 Minutes To Midnight (2015 Remastered Version)Iron Maiden,10/14/2019 11:32:00 AM,Iron Maiden,Powerslave (2015 Remastered Edition),2 Minutes To Midnight (2015 Remastered Version),10/14/2019 4:32:00 PM
Spit It OutSlipknot,10/14/2019 11:29:00 AM,Slipknot,Slipknot (Deluxe Version),Spit It Out,10/14/2019 4:29:00 PM
Peace SellsMegadeth,10/14/2019 11:25:00 AM,Megadeth,Peace Sells... But Who's Buying? (25th Anniversary),Peace Sells,10/14/2019 4:25:00 PM
Cowboys from HellPantera,10/14/2019 11:21:00 AM,Pantera,Cowboys from Hell (Deluxe Version),Cowboys from Hell,10/14/2019 4:21:00 PM
Rainbow in the DarkDio,10/14/2019 11:17:00 AM,Dio,Holy Diver,Rainbow in the Dark,10/14/2019 4:17:00 PM
A Warrior's CallVolbeat,10/14/2019 11:12:00 AM,Volbeat,Beyond Hell/Above Heaven (Bonus Track Version),A Warrior's Call,10/14/2019 4:12:00 PM
Ace of SpadesMotörhead,10/14/2019 11:10:00 AM,Motörhead,Ace Of Spades (Deluxe Edition),Ace of Spades,10/14/2019 4:10:00 PM
Just Like HeavenThe Cure,10/12/2019 1:11:00 PM,The Cure,Kiss Me Kiss Me Kiss Me,Just Like Heaven,10/12/2019 6:11:00 PM
I Would Die 4 U - 7 Single Edit; 2017 RemasterPrince,10/12/2019 1:08:00 PM,Prince,Purple Rain (Deluxe Expanded Edition),I Would Die 4 U - 7 Single Edit; 2017 Remaster,10/12/2019 6:08:00 PM
I Wanna RockTwisted Sister,10/12/2019 1:05:00 PM,Twisted Sister,Stay Hungry,I Wanna Rock,10/12/2019 6:05:00 PM
Dancing in the DarkBruce Springsteen,10/12/2019 1:01:00 PM,Bruce Springsteen,Born in the U.S.A.,Dancing in the Dark,10/12/2019 6:01:00 PM
Dancing in the DarkBruce Springsteen,10/11/2019 10:24:00 PM,Bruce Springsteen,Born in the U.S.A.,Dancing in the Dark,10/12/2019 3:24:00 AM
Twitch and TugHugo,10/11/2019 4:47:00 PM,Hugo,Deep In the Long Grass,Twitch and Tug,10/11/2019 9:47:00 PM
Long LiveDevan DuBois,10/11/2019 4:44:00 PM,Devan DuBois,Le Fou,Long Live,10/11/2019 9:44:00 PM
You Dropped A Bomb On MeThe Gap Band,10/11/2019 4:32:00 PM,The Gap Band,The Gap Band IV,You Dropped A Bomb On Me,10/11/2019 9:32:00 PM
You Dropped A Bomb On MeThe Gap Band,10/11/2019 4:29:00 PM,The Gap Band,The Gap Band IV,You Dropped A Bomb On Me,10/11/2019 9:29:00 PM
The Bad DaysDavid Ramirez,10/11/2019 4:25:00 PM,David Ramirez,The Rooster - EP,The Bad Days,10/11/2019 9:25:00 PM
Suffering (Jacob Hemphill (SOJA) Remix)Rebelution,10/11/2019 4:21:00 PM,Rebelution,Remix EP,Suffering (Jacob Hemphill (SOJA) Remix),10/11/2019 9:21:00 PM
Take What You Want (feat. Ozzy Osbourne & Travis Scott)Post Malone,10/11/2019 4:17:00 PM,Post Malone,Hollywood's Bleeding,Take What You Want (feat. Ozzy Osbourne & Travis Scott),10/11/2019 9:17:00 PM
Waste the NightKatastro,10/11/2019 4:11:00 PM,Katastro,Strange Nights,Waste the Night,10/11/2019 9:11:00 PM
Waste the NightKatastro,10/11/2019 3:45:00 PM,Katastro,Strange Nights,Waste the Night,10/11/2019 8:45:00 PM
The Alternative PolkaWeird Al Yankovic,10/11/2019 3:40:00 PM,Weird Al Yankovic,Bad Hair Day,The Alternative Polka,10/11/2019 8:40:00 PM
I'm RunningYes,10/11/2019 3:12:00 PM,Yes,Big Generator,I'm Running,10/11/2019 8:12:00 PM
Do You Love Me Or What?Huey Lewis & The News,10/11/2019 3:09:00 PM,Huey Lewis & The News,Hard At Play,Do You Love Me Or What?,10/11/2019 8:09:00 PM
The Loved OneINXS,10/11/2019 3:05:00 PM,INXS,Kick,The Loved One,10/11/2019 8:05:00 PM
Digging in the DirtPeter Gabriel,10/11/2019 3:00:00 PM,Peter Gabriel,Us (Remastered Version),Digging in the Dirt,10/11/2019 8:00:00 PM
Our SongYes,10/11/2019 2:55:00 PM,Yes,90125 (Deluxe Version),Our Song,10/11/2019 7:55:00 PM
Mercy Street - 2012 RemasterPeter Gabriel,10/11/2019 2:49:00 PM,Peter Gabriel,So (2012 Remastered),Mercy Street - 2012 Remaster,10/11/2019 7:49:00 PM
AttitudeHuey Lewis & The News,10/11/2019 2:45:00 PM,Huey Lewis & The News,Hard At Play,Attitude,10/11/2019 7:45:00 PM
Heaven Knows - 2006 RemasterRobert Plant,10/11/2019 2:41:00 PM,Robert Plant,Now and Zen,Heaven Knows - 2006 Remaster,10/11/2019 7:41:00 PM
Shape Of My HeartSting,10/11/2019 2:36:00 PM,Sting,Ten Summoner's Tales,Shape Of My Heart,10/11/2019 7:36:00 PM
Consider Me GoneSting,10/11/2019 2:32:00 PM,Sting,The Dream Of The Blue Turtles,Consider Me Gone,10/11/2019 7:32:00 PM
Tom SawyerRush,10/11/2019 2:28:00 PM,Rush,Moving Pictures (2011 Remaster),Tom Sawyer,10/11/2019 7:28:00 PM
Epilogue (Nothing 'Bout Me)Sting,10/11/2019 2:24:00 PM,Sting,Ten Summoner's Tales,Epilogue (Nothing 'Bout Me),10/11/2019 7:24:00 PM
Build Me UpHuey Lewis & The News,10/11/2019 2:19:00 PM,Huey Lewis & The News,Hard At Play,Build Me Up,10/11/2019 7:19:00 PM
Big Time - 2012 RemasterPeter Gabriel,10/11/2019 2:15:00 PM,Peter Gabriel,So (2012 Remastered),Big Time - 2012 Remaster,10/11/2019 7:15:00 PM
DisappearINXS,10/11/2019 2:02:00 PM,INXS,X,Disappear,10/11/2019 7:02:00 PM
When The Angels FallSting,10/11/2019 1:55:00 PM,Sting,The Soul Cages,When The Angels Fall,10/11/2019 6:55:00 PM
Give Me the Keys (And I'll Drive You Crazy)Huey Lewis & The News,10/11/2019 1:50:00 PM,Huey Lewis & The News,Small World,Give Me the Keys (And I'll Drive You Crazy),10/11/2019 6:50:00 PM
Know The DifferenceINXS,10/11/2019 1:47:00 PM,INXS,X,Know The Difference,10/11/2019 6:47:00 PM
Secret WorldPeter Gabriel,10/11/2019 1:40:00 PM,Peter Gabriel,Us (Remastered Version),Secret World,10/11/2019 6:40:00 PM
That Voice Again - 2012 RemasterPeter Gabriel,10/11/2019 1:35:00 PM,Peter Gabriel,So (2012 Remastered),That Voice Again - 2012 Remaster,10/11/2019 6:35:00 PM
Don't Look BackHuey Lewis & The News,10/11/2019 1:31:00 PM,Huey Lewis & The News,Hard At Play,Don't Look Back,10/11/2019 6:31:00 PM
Tall Cool One - 2006 RemasterRobert Plant,10/11/2019 1:26:00 PM,Robert Plant,Now and Zen,Tall Cool One - 2006 Remaster,10/11/2019 6:26:00 PM
Mad About YouSting,10/11/2019 1:22:00 PM,Sting,The Soul Cages,Mad About You,10/11/2019 6:22:00 PM
Walking Towards Paradise - 2006 RemasterRobert Plant,10/11/2019 1:17:00 PM,Robert Plant,Now and Zen,Walking Towards Paradise - 2006 Remaster,10/11/2019 6:17:00 PM
Who Pays The PriceINXS,10/11/2019 1:14:00 PM,INXS,X,Who Pays The Price,10/11/2019 6:14:00 PM
The StairsINXS,10/11/2019 1:09:00 PM,INXS,X,The Stairs,10/11/2019 6:09:00 PM
Jeremiah Blues (Part 1)Sting,10/11/2019 12:18:00 PM,Sting,The Soul Cages,Jeremiah Blues (Part 1),10/11/2019 5:18:00 PM
The Dream Of The Blue TurtlesSting,10/11/2019 12:17:00 PM,Sting,The Dream Of The Blue Turtles,The Dream Of The Blue Turtles,10/11/2019 5:17:00 PM
Red BarchettaRush,10/11/2019 12:11:00 PM,Rush,Moving Pictures (2011 Remaster),Red Barchetta,10/11/2019 5:11:00 PM
LimelightRush,10/11/2019 12:06:00 PM,Rush,Moving Pictures (2011 Remaster),Limelight,10/11/2019 5:06:00 PM
Kiss That FrogPeter Gabriel,10/11/2019 11:25:00 AM,Peter Gabriel,Us (Remastered Version),Kiss That Frog,10/11/2019 4:25:00 PM
Owner of a Lonely HeartYes,10/11/2019 11:20:00 AM,Yes,90125 (Deluxe Version),Owner of a Lonely Heart,10/11/2019 4:20:00 PM
Children's CrusadeSting,10/11/2019 11:15:00 AM,Sting,The Dream Of The Blue Turtles,Children's Crusade,10/11/2019 4:15:00 PM
Washing Of The WaterPeter Gabriel,10/11/2019 11:11:00 AM,Peter Gabriel,Us (Remastered Version),Washing Of The Water,10/11/2019 4:11:00 PM
Helen of Troy - 2006 RemasterRobert Plant,10/11/2019 11:05:00 AM,Robert Plant,Now and Zen,Helen of Troy - 2006 Remaster,10/11/2019 4:05:00 PM
Love Will Find a WayYes,10/11/2019 11:00:00 AM,Yes,Big Generator,Love Will Find a Way,10/11/2019 4:00:00 PM
Suicide BlondeINXS,10/11/2019 10:56:00 AM,INXS,X,Suicide Blonde,10/11/2019 3:56:00 PM
Blood Of EdenPeter Gabriel,10/11/2019 10:42:00 AM,Peter Gabriel,Us (Remastered Version),Blood Of Eden,10/11/2019 3:42:00 PM
SteamPeter Gabriel,10/11/2019 10:36:00 AM,Peter Gabriel,Us (Remastered Version),Steam,10/11/2019 3:36:00 PM
Bobo TempoHuey Lewis & The News,10/11/2019 10:31:00 AM,Huey Lewis & The News,Small World,Bobo Tempo,10/11/2019 3:31:00 PM
Love Is The Seventh WaveSting,10/11/2019 10:27:00 AM,Sting,The Dream Of The Blue Turtles,Love Is The Seventh Wave,10/11/2019 3:27:00 PM
We Work The Black SeamSting,10/11/2019 10:22:00 AM,Sting,The Dream Of The Blue Turtles,We Work The Black Seam,10/11/2019 3:22:00 PM
Island Of SoulsSting,10/11/2019 10:15:00 AM,Sting,The Soul Cages,Island Of Souls,10/11/2019 3:15:00 PM
All for YouStick Figure,10/11/2019 7:58:00 AM,Stick Figure,World on Fire,All for You,10/11/2019 12:58:00 PM
ShineStick Figure,10/11/2019 7:14:00 AM,Stick Figure,World on Fire,Shine,10/11/2019 12:14:00 PM
Angels Above MeStick Figure,10/11/2019 7:09:00 AM,Stick Figure,World on Fire,Angels Above Me,10/11/2019 12:09:00 PM
Summertime (feat. Citizen Cope)Stick Figure,10/11/2019 7:05:00 AM,Stick Figure,World on Fire,Summertime (feat. Citizen Cope),10/11/2019 12:05:00 PM
Burn the NightStick Figure,10/11/2019 7:00:00 AM,Stick Figure,World on Fire,Burn the Night,10/11/2019 12:00:00 PM
World On fire (Feat. Slightly Stoopid)Stick Figure,10/11/2019 6:56:00 AM,Stick Figure,World on Fire,World On fire (Feat. Slightly Stoopid),10/11/2019 11:56:00 AM
Rise and FallStick Figure,10/11/2019 6:52:00 AM,Stick Figure,World on Fire,Rise and Fall,10/11/2019 11:52:00 AM
The Great UnknownStick Figure,10/11/2019 6:47:00 AM,Stick Figure,World on Fire,The Great Unknown,10/11/2019 11:47:00 AM
Life is a PartyStick Figure,10/11/2019 6:43:00 AM,Stick Figure,World on Fire,Life is a Party,10/11/2019 11:43:00 AM
Easy RunawayStick Figure,10/11/2019 6:39:00 AM,Stick Figure,World on Fire,Easy Runaway,10/11/2019 11:39:00 AM
Welcome to the SunStick Figure,10/11/2019 6:34:00 AM,Stick Figure,World on Fire,Welcome to the Sun,10/11/2019 11:34:00 AM
Cocoa de RockStick Figure,10/11/2019 6:30:00 AM,Stick Figure,World on Fire,Cocoa de Rock,10/11/2019 11:30:00 AM
Once in a LifetimeStick Figure,10/11/2019 6:25:00 AM,Stick Figure,World on Fire,Once in a Lifetime,10/11/2019 11:25:00 AM
The Night Santa Went CrazyWeird Al Yankovic,10/11/2019 6:20:00 AM,Weird Al Yankovic,Bad Hair Day,The Night Santa Went Crazy,10/11/2019 11:20:00 AM
I Remember LarryWeird Al Yankovic,10/11/2019 6:17:00 AM,Weird Al Yankovic,Bad Hair Day,I Remember Larry,10/11/2019 11:17:00 AM
Phony Calls (Parody of Waterfalls by TLC)Weird Al Yankovic,10/11/2019 6:17:00 AM,Weird Al Yankovic,Bad Hair Day,Phony Calls (Parody of Waterfalls by TLC),10/11/2019 11:17:00 AM
Syndicated Inc. (Parody of Misery by Soul Asylum)Weird Al Yankovic,10/10/2019 7:56:00 PM,Weird Al Yankovic,Bad Hair Day,Syndicated Inc. (Parody of Misery by Soul Asylum),10/11/2019 12:56:00 AM
I'm So Sick Of YouWeird Al Yankovic,10/10/2019 7:53:00 PM,Weird Al Yankovic,Bad Hair Day,I'm So Sick Of You,10/11/2019 12:53:00 AM
GumpWeird Al Yankovic,10/10/2019 7:50:00 PM,Weird Al Yankovic,Bad Hair Day,Gump,10/11/2019 12:50:00 AM
Since You've Been GoneWeird Al Yankovic,10/10/2019 7:49:00 PM,Weird Al Yankovic,Bad Hair Day,Since You've Been Gone,10/11/2019 12:49:00 AM
The Alternative PolkaWeird Al Yankovic,10/10/2019 7:44:00 PM,Weird Al Yankovic,Bad Hair Day,The Alternative Polka,10/11/2019 12:44:00 AM
Callin' In SickWeird Al Yankovic,10/10/2019 7:40:00 PM,Weird Al Yankovic,Bad Hair Day,Callin' In Sick,10/11/2019 12:40:00 AM
Cavity Search (Parody of Hold Me Thrill Me Kiss Me Kill Me by U2)Weird Al Yankovic,10/10/2019 7:36:00 PM,Weird Al Yankovic,Bad Hair Day,Cavity Search (Parody of Hold Me Thrill Me Kiss Me Kill Me by U2),10/11/2019 12:36:00 AM
Everything You Know Is WrongWeird Al Yankovic,10/10/2019 7:32:00 PM,Weird Al Yankovic,Bad Hair Day,Everything You Know Is Wrong,10/11/2019 12:32:00 AM
Amish Paradise (Parody of Gangsta's Paradise by Coolio)Weird Al Yankovic,10/10/2019 7:29:00 PM,Weird Al Yankovic,Bad Hair Day,Amish Paradise (Parody of Gangsta's Paradise by Coolio),10/11/2019 12:29:00 AM
TortureEric Krasno,10/10/2019 5:26:00 PM,Eric Krasno,Blood from a Stone,Torture,10/10/2019 10:26:00 PM
Irie State (feat. Slightly Stoopid)Fortunate Youth,10/10/2019 5:21:00 PM,Fortunate Youth,fortunate youth,Irie State (feat. Slightly Stoopid),10/10/2019 10:21:00 PM
Wild RideJimkata,10/10/2019 5:15:00 PM,Jimkata,In Motion,Wild Ride,10/10/2019 10:15:00 PM
RingoAtmosphere,10/10/2019 5:10:00 PM,Atmosphere,Fishing Blues,Ringo,10/10/2019 10:10:00 PM
Fire on the HorizonStick Figure,10/10/2019 5:04:00 PM,Stick Figure,Set in Stone,Fire on the Horizon,10/10/2019 10:04:00 PM
Wind BlowBone Thugs-N-Harmony,10/10/2019 4:33:00 PM,Bone Thugs-N-Harmony,Strength & Loyalty,Wind Blow,10/10/2019 9:33:00 PM
FridayDae Zhen,10/10/2019 4:11:00 PM,Dae Zhen,Friday,Friday,10/10/2019 9:11:00 PM
Now or NeverHalsey,10/10/2019 4:08:00 PM,Halsey,hopeless fountain kingdom (Deluxe),Now or Never,10/10/2019 9:08:00 PM
Bad at LoveHalsey,10/10/2019 4:05:00 PM,Halsey,hopeless fountain kingdom (Deluxe),Bad at Love,10/10/2019 9:05:00 PM
I Want to Love YouLenachka,10/10/2019 4:00:00 PM,Lenachka,Lenachka,I Want to Love You,10/10/2019 9:00:00 PM
FlowerchildColeman Hell,10/10/2019 3:57:00 PM,Coleman Hell,Summerland,Flowerchild,10/10/2019 8:57:00 PM
Norman fucking RockwellLana Del Rey,10/10/2019 3:53:00 PM,Lana Del Rey,Norman Fucking Rockwell!,Norman fucking Rockwell,10/10/2019 8:53:00 PM
Venice VentureBig Wild,10/10/2019 3:49:00 PM,Big Wild,Venice Venture,Venice Venture,10/10/2019 8:49:00 PM
Big Girls Don't CryKarmin,10/10/2019 3:47:00 PM,Karmin,Dirty Dancing (Original Television Soundtrack),Big Girls Don't Cry,10/10/2019 8:47:00 PM
Guys My Age - StrippedHey Violet,10/10/2019 3:42:00 PM,Hey Violet,Guys My Age (Stripped),Guys My Age - Stripped,10/10/2019 8:42:00 PM
Only OneCarlie Hanson,10/10/2019 3:39:00 PM,Carlie Hanson,Only One,Only One,10/10/2019 8:39:00 PM
Cinnamon GirlLana Del Rey,10/10/2019 3:34:00 PM,Lana Del Rey,Norman Fucking Rockwell!,Cinnamon Girl,10/10/2019 8:34:00 PM
No Flex Zone (Remix)Karmin,10/10/2019 3:31:00 PM,Karmin,No Flex Zone (Remix) - Single,No Flex Zone (Remix),10/10/2019 8:31:00 PM
American Muscle1 AMVRKA,10/10/2019 3:26:00 PM,1 AMVRKA,American Muscle,American Muscle,10/10/2019 8:26:00 PM
HereAlessia Cara,10/10/2019 3:23:00 PM,Alessia Cara,Here,Here,10/10/2019 8:23:00 PM
Your Future is Not Mine (Illangelo Remix) [feat. Joseph of Mercury]Daisy,10/10/2019 3:19:00 PM,Daisy,Your Future is Not Mine (Illangelo Remix) [feat. Joseph of Mercury],Your Future is Not Mine (Illangelo Remix) [feat. Joseph of Mercury],10/10/2019 8:19:00 PM
Same Old LoveSelena Gomez,10/10/2019 3:15:00 PM,Selena Gomez,Revival (Deluxe),Same Old Love,10/10/2019 8:15:00 PM
IssuesJulia Michaels,10/10/2019 3:12:00 PM,Julia Michaels,Nervous System,Issues,10/10/2019 8:12:00 PM
PiecesTanlines,10/10/2019 3:09:00 PM,Tanlines,Highlights,Pieces,10/10/2019 8:09:00 PM
7 ringsAriana Grande,10/10/2019 3:06:00 PM,Ariana Grande,7 rings,7 rings,10/10/2019 8:06:00 PM
Make Me FeelJanelle Monáe,10/10/2019 3:02:00 PM,Janelle Monáe,Dirty Computer,Make Me Feel,10/10/2019 8:02:00 PM
LydiaHighly Suspect,10/10/2019 2:58:00 PM,Highly Suspect,lydia,Lydia,10/10/2019 7:58:00 PM
MudshovelStaind,10/10/2019 2:52:00 PM,Staind,Dysfunction (Internet Release),Mudshovel,10/10/2019 7:52:00 PM
Check Your SystemcAPtIVa,10/10/2019 2:50:00 PM,cAPtIVa,Pay No Mind,Check Your System,10/10/2019 7:50:00 PM
FanfareMagic City Hippies,10/10/2019 2:46:00 PM,Magic City Hippies,Hippie Castle - EP,Fanfare,10/10/2019 7:46:00 PM
RóróróOf Monsters and Men,10/10/2019 2:41:00 PM,Of Monsters and Men,FEVER DREAM,Róróró,10/10/2019 7:41:00 PM
Heart it RacesDr. Dog,10/10/2019 2:37:00 PM,Dr. Dog,Live At a Flamingo Hotel,Heart it Races,10/10/2019 7:37:00 PM
WeakAJR,10/10/2019 2:34:00 PM,AJR,What Everyone's Thinking,Weak,10/10/2019 7:34:00 PM
Die HappyDreamers,10/10/2019 2:30:00 PM,Dreamers,LAUNCH FLY LAND,Die Happy,10/10/2019 7:30:00 PM
You Got ItWelshly Arms,10/10/2019 2:27:00 PM,Welshly Arms,Covers EP,You Got It,10/10/2019 7:27:00 PM
Oh What A WorldRufus Wainwright,10/10/2019 2:23:00 PM,Rufus Wainwright,Want One,Oh What A World,10/10/2019 7:23:00 PM
ProofreadDaniel Wilson,10/10/2019 2:18:00 PM,Daniel Wilson,Boy Who Cried Thunder EP,Proofread,10/10/2019 7:18:00 PM
My Song 5HAIM,10/10/2019 2:14:00 PM,HAIM,Days Are Gone,My Song 5,10/10/2019 7:14:00 PM
MapsYeah Yeah Yeahs,10/10/2019 2:11:00 PM,Yeah Yeah Yeahs,Fever To Tell,Maps,10/10/2019 7:11:00 PM
NaturalImagine Dragons,10/10/2019 2:07:00 PM,Imagine Dragons,Origins (Deluxe),Natural,10/10/2019 7:07:00 PM
Put Your Money on MeThe Struts,10/10/2019 2:04:00 PM,The Struts,Everybody Wants,Put Your Money on Me,10/10/2019 7:04:00 PM
All Your Light (Times Like These)Portugal. The Man,10/10/2019 2:00:00 PM,Portugal. The Man,In the Mountain in the Cloud,All Your Light (Times Like These),10/10/2019 7:00:00 PM
Light Will Keep Your Heart Beating in the FutureMike Doughty,10/10/2019 1:56:00 PM,Mike Doughty,Stellar Motel,Light Will Keep Your Heart Beating in the Future,10/10/2019 6:56:00 PM
SoloMobley,10/10/2019 1:53:00 PM,Mobley,Fresh Lies Vol. I,Solo,10/10/2019 6:53:00 PM
Date With the NightYeah Yeah Yeahs,10/10/2019 1:50:00 PM,Yeah Yeah Yeahs,Fever To Tell,Date With the Night,10/10/2019 6:50:00 PM
HeartSlow Hollows,10/10/2019 1:45:00 PM,Slow Hollows,Heart,Heart,10/10/2019 6:45:00 PM
I BeenBerhana,10/10/2019 1:42:00 PM,Berhana,I Been,I Been,10/10/2019 6:42:00 PM
LovestainedHope Tala,10/10/2019 1:39:00 PM,Hope Tala,Lovestained,Lovestained,10/10/2019 6:39:00 PM
single (on the weekend)Marcos G,10/10/2019 1:36:00 PM,Marcos G,single (on the weekend),single (on the weekend),10/10/2019 6:36:00 PM
DangerousJON VINYL,10/10/2019 1:33:00 PM,JON VINYL,Dangerous,Dangerous,10/10/2019 6:33:00 PM
BETTYJamila Woods,10/10/2019 1:30:00 PM,Jamila Woods,LEGACY! LEGACY!,BETTY,10/10/2019 6:30:00 PM
To MeAlina Baraz,10/10/2019 1:21:00 PM,Alina Baraz,To Me,To Me,10/10/2019 6:21:00 PM
nervousJonah Yano,10/10/2019 1:17:00 PM,Jonah Yano,nervous,nervous,10/10/2019 6:17:00 PM
PaperAudrey,10/10/2019 1:15:00 PM,Audrey,Paper,Paper,10/10/2019 6:15:00 PM
One SidedJoe Hertz,10/10/2019 1:11:00 PM,Joe Hertz,One Sided,One Sided,10/10/2019 6:11:00 PM
Say It's FineKyle Lux,10/10/2019 1:08:00 PM,Kyle Lux,Say It's Fine,Say It's Fine,10/10/2019 6:08:00 PM
right hereKeshi,10/10/2019 1:04:00 PM,Keshi,right here,right here,10/10/2019 6:04:00 PM
BecomingDiana Gordon,10/10/2019 12:27:00 PM,Diana Gordon,Becoming,Becoming,10/10/2019 5:27:00 PM
Land of HoneyFlying Lotus,10/10/2019 12:24:00 PM,Flying Lotus,Flamagra,Land of Honey,10/10/2019 5:24:00 PM
Good LuckDijon,10/10/2019 12:23:00 PM,Dijon,Good Luck,Good Luck,10/10/2019 5:23:00 PM
Something to FeelMac Ayres,10/10/2019 12:15:00 PM,Mac Ayres,Something to Feel,Something to Feel,10/10/2019 5:15:00 PM
Jimmy ChooEBHONI,10/10/2019 12:12:00 PM,EBHONI,Jimmy Choo,Jimmy Choo,10/10/2019 5:12:00 PM
No Buslophiile,10/10/2019 12:09:00 PM,lophiile,No Bus,No Bus,10/10/2019 5:09:00 PM
Ford CardinalHalima,10/10/2019 12:06:00 PM,Halima,Ford Cardinal,Ford Cardinal,10/10/2019 5:06:00 PM
Despacito - RemixLuis Fonsi,10/10/2019 12:03:00 PM,Luis Fonsi,Despacito Feat. Justin Bieber (Remix),Despacito - Remix,10/10/2019 5:03:00 PM
HOLD YAHRocstrong,10/10/2019 11:59:00 AM,Rocstrong,Hold Yah,HOLD YAH,10/10/2019 4:59:00 PM
Brave Man's DeathJ Roddy Walston And The Business,10/10/2019 11:54:00 AM,J Roddy Walston And The Business,J. Roddy Walston & The Business,Brave Man's Death,10/10/2019 4:54:00 PM
Want YouThe Wans,10/10/2019 11:50:00 AM,The Wans,The Wans - EP,Want You,10/10/2019 4:50:00 PM
Bang BangLawrence Taylor,10/10/2019 10:56:00 AM,Lawrence Taylor,Bang Bang - Single,Bang Bang,10/10/2019 3:56:00 PM
Come on in My KitchenWhitehorse,10/10/2019 10:48:00 AM,Whitehorse,The Northern South Vol. 1,Come on in My Kitchen,10/10/2019 3:48:00 PM
SheeshJosh Sallee,10/10/2019 10:45:00 AM,Josh Sallee,Sheesh,Sheesh,10/10/2019 3:45:00 PM
The TruthNonpoint,10/10/2019 10:41:00 AM,Nonpoint,Recoil (Explicit Content U.S. Version),The Truth,10/10/2019 3:41:00 PM
The HoneyGrace,10/10/2019 10:37:00 AM,Grace,Memo,The Honey,10/10/2019 3:37:00 PM
GoldKiiara,10/10/2019 10:33:00 AM,Kiiara,Low Kii Savage,Gold,10/10/2019 3:33:00 PM
No DiabloUmphrey's McGee,10/10/2019 10:29:00 AM,Umphrey's McGee,Similar Skin,No Diablo,10/10/2019 3:29:00 PM
HurricaneThe Band of Heathens,10/10/2019 10:20:00 AM,The Band of Heathens,Top Hat Crown & The Clapmaster 's Son,Hurricane,10/10/2019 3:20:00 PM
Starin' At ItMaliibu N Helene,10/10/2019 10:16:00 AM,Maliibu N Helene,Starin' At It,Starin' At It,10/10/2019 3:16:00 PM
Three WeeksPerpetual Groove,10/10/2019 8:49:00 AM,Perpetual Groove,Sweet Oblivious Antidote,Three Weeks,10/10/2019 1:49:00 PM
awayjhfly,10/9/2019 8:41:00 PM,jhfly,even more sounds,away,10/10/2019 1:41:00 AM
BlueH.1,10/9/2019 8:40:00 PM,H.1,Blue,Blue,10/10/2019 1:40:00 AM
LuneHue Honey,10/9/2019 8:38:00 PM,Hue Honey,Hiraeth,Lune,10/10/2019 1:38:00 AM
island[bsd.u],10/9/2019 8:37:00 PM,[bsd.u],late night bumps Vol. 2,island,10/10/2019 1:37:00 AM
