Question Number,Question Text,University,Sample Size,% Agree
Q11,I have received helpful comments on my work,ICMP Management Limited,242,0.7514
Q12,I have been able to contact staff when I needed to,ICMP Management Limited,242,0.8035
Q13,I have received sufficient advice and guidance in relation to my course,ICMP Management Limited,242,0.7514
Q14,Good advice was available when I needed to make study choices on my course,ICMP Management Limited,242,0.7588
Q15,The course is well organised and running smoothly,ICMP Management Limited,242,0.4624
Q16,The timetable works efficiently for me,ICMP Management Limited,242,0.7225
Q17,Any changes in the course or teaching have been communicated effectively,ICMP Management Limited,242,0.6512
Q18,The IT resources and facilities provided have supported my learning well,ICMP Management Limited,242,0.7442
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",ICMP Management Limited,242,0.6959
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",ICMP Management Limited,242,0.7341
Q21,I feel part of a community of staff and students,ICMP Management Limited,242,0.6705
Q22,I have had the right opportunities to work with other students as part of my course,ICMP Management Limited,242,0.7457
Q23,I have had the right opportunities to provide feedback on my course,ICMP Management Limited,242,0.7836
Q24,Staff value students’ views and opinions about the course,ICMP Management Limited,242,0.7544
Q25,It is clear how students’ feedback on the course has been acted on,ICMP Management Limited,242,0.6118
Q26,The students’ union (association or guild) effectively represents students’ academic interests,ICMP Management Limited,242,0.557
Q27,"Overall, I am satisfied with the quality of the course",ICMP Management Limited,242,0.6802
Q01,Staff are good at explaining things,ICON College of Technology and Management Ltd,635,0.9061
Q02,Staff have made the subject interesting,ICON College of Technology and Management Ltd,635,0.9081
Q03,The course is intellectually stimulating,ICON College of Technology and Management Ltd,635,0.9186
Q04,My course has challenged me to achieve my best work,ICON College of Technology and Management Ltd,635,0.9165
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,ICON College of Technology and Management Ltd,635,0.9042
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,ICON College of Technology and Management Ltd,635,0.9311
Q07,My course has provided me with opportunities to apply what I have learnt,ICON College of Technology and Management Ltd,635,0.8952
Q08,The criteria used in marking have been clear in advance,ICON College of Technology and Management Ltd,635,0.8676
Q09,Marking and assessment has been fair,ICON College of Technology and Management Ltd,635,0.8267
Q10,Feedback on my work has been timely,ICON College of Technology and Management Ltd,635,0.8539
Q11,I have received helpful comments on my work,ICON College of Technology and Management Ltd,635,0.8729
Q12,I have been able to contact staff when I needed to,ICON College of Technology and Management Ltd,635,0.8264
Q13,I have received sufficient advice and guidance in relation to my course,ICON College of Technology and Management Ltd,635,0.8625
Q14,Good advice was available when I needed to make study choices on my course,ICON College of Technology and Management Ltd,635,0.8658
Q15,The course is well organised and running smoothly,ICON College of Technology and Management Ltd,635,0.8333
Q16,The timetable works efficiently for me,ICON College of Technology and Management Ltd,635,0.9125
Q17,Any changes in the course or teaching have been communicated effectively,ICON College of Technology and Management Ltd,635,0.8193
Q18,The IT resources and facilities provided have supported my learning well,ICON College of Technology and Management Ltd,635,0.864
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",ICON College of Technology and Management Ltd,635,0.8515
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",ICON College of Technology and Management Ltd,635,0.8571
Q21,I feel part of a community of staff and students,ICON College of Technology and Management Ltd,635,0.8235
Q22,I have had the right opportunities to work with other students as part of my course,ICON College of Technology and Management Ltd,635,0.8903
Q23,I have had the right opportunities to provide feedback on my course,ICON College of Technology and Management Ltd,635,0.8912
Q24,Staff value students’ views and opinions about the course,ICON College of Technology and Management Ltd,635,0.8239
Q25,It is clear how students’ feedback on the course has been acted on,ICON College of Technology and Management Ltd,635,0.8281
Q26,The students’ union (association or guild) effectively represents students’ academic interests,ICON College of Technology and Management Ltd,635,0.773
Q27,"Overall, I am satisfied with the quality of the course",ICON College of Technology and Management Ltd,635,0.8933
Q01,Staff are good at explaining things,"Imperial College of Science, Technology and Medicine",2199,0.8529
Q02,Staff have made the subject interesting,"Imperial College of Science, Technology and Medicine",2199,0.783
Q03,The course is intellectually stimulating,"Imperial College of Science, Technology and Medicine",2199,0.8991
Q04,My course has challenged me to achieve my best work,"Imperial College of Science, Technology and Medicine",2199,0.8128
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,"Imperial College of Science, Technology and Medicine",2199,0.8134
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,"Imperial College of Science, Technology and Medicine",2199,0.8273
Q07,My course has provided me with opportunities to apply what I have learnt,"Imperial College of Science, Technology and Medicine",2199,0.7911
Q08,The criteria used in marking have been clear in advance,"Imperial College of Science, Technology and Medicine",2199,0.6178
Q09,Marking and assessment has been fair,"Imperial College of Science, Technology and Medicine",2199,0.6634
Q10,Feedback on my work has been timely,"Imperial College of Science, Technology and Medicine",2199,0.5572
Q11,I have received helpful comments on my work,"Imperial College of Science, Technology and Medicine",2199,0.5758
Q12,I have been able to contact staff when I needed to,"Imperial College of Science, Technology and Medicine",2199,0.9
Q13,I have received sufficient advice and guidance in relation to my course,"Imperial College of Science, Technology and Medicine",2199,0.7269
Q14,Good advice was available when I needed to make study choices on my course,"Imperial College of Science, Technology and Medicine",2199,0.68
Q15,The course is well organised and running smoothly,"Imperial College of Science, Technology and Medicine",2199,0.6734
Q16,The timetable works efficiently for me,"Imperial College of Science, Technology and Medicine",2199,0.7881
Q17,Any changes in the course or teaching have been communicated effectively,"Imperial College of Science, Technology and Medicine",2199,0.7731
Q18,The IT resources and facilities provided have supported my learning well,"Imperial College of Science, Technology and Medicine",2199,0.883
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well","Imperial College of Science, Technology and Medicine",2199,0.877
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to","Imperial College of Science, Technology and Medicine",2199,0.9262
Q21,I feel part of a community of staff and students,"Imperial College of Science, Technology and Medicine",2199,0.6693
Q22,I have had the right opportunities to work with other students as part of my course,"Imperial College of Science, Technology and Medicine",2199,0.8783
Q23,I have had the right opportunities to provide feedback on my course,"Imperial College of Science, Technology and Medicine",2199,0.8744
Q24,Staff value students’ views and opinions about the course,"Imperial College of Science, Technology and Medicine",2199,0.7193
Q25,It is clear how students’ feedback on the course has been acted on,"Imperial College of Science, Technology and Medicine",2199,0.6571
Q26,The students’ union (association or guild) effectively represents students’ academic interests,"Imperial College of Science, Technology and Medicine",2199,0.5426
Q27,"Overall, I am satisfied with the quality of the course","Imperial College of Science, Technology and Medicine",2199,0.8137
Q01,Staff are good at explaining things,The College of Integrated Chinese Medicine,41,0.963
Q02,Staff have made the subject interesting,The College of Integrated Chinese Medicine,41,0.8519
Q03,The course is intellectually stimulating,The College of Integrated Chinese Medicine,41,0.9259
Q04,My course has challenged me to achieve my best work,The College of Integrated Chinese Medicine,41,0.7407
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,The College of Integrated Chinese Medicine,41,0.8889
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,The College of Integrated Chinese Medicine,41,0.8519
Q07,My course has provided me with opportunities to apply what I have learnt,The College of Integrated Chinese Medicine,41,0.8519
Q08,The criteria used in marking have been clear in advance,The College of Integrated Chinese Medicine,41,0.7407
Q09,Marking and assessment has been fair,The College of Integrated Chinese Medicine,41,0.7692
Q10,Feedback on my work has been timely,The College of Integrated Chinese Medicine,41,0.7407
Q11,I have received helpful comments on my work,The College of Integrated Chinese Medicine,41,0.7407
Q12,I have been able to contact staff when I needed to,The College of Integrated Chinese Medicine,41,0.8148
Q13,I have received sufficient advice and guidance in relation to my course,The College of Integrated Chinese Medicine,41,0.8148
Q14,Good advice was available when I needed to make study choices on my course,The College of Integrated Chinese Medicine,41,0.6667
Q15,The course is well organised and running smoothly,The College of Integrated Chinese Medicine,41,0.5769
Q16,The timetable works efficiently for me,The College of Integrated Chinese Medicine,41,0.8462
Q17,Any changes in the course or teaching have been communicated effectively,The College of Integrated Chinese Medicine,41,0.7407
Q18,The IT resources and facilities provided have supported my learning well,The College of Integrated Chinese Medicine,41,0.6296
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",The College of Integrated Chinese Medicine,41,0.8846
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",The College of Integrated Chinese Medicine,41,0.8889
Q21,I feel part of a community of staff and students,The College of Integrated Chinese Medicine,41,0.9259
Q22,I have had the right opportunities to work with other students as part of my course,The College of Integrated Chinese Medicine,41,0.963
Q23,I have had the right opportunities to provide feedback on my course,The College of Integrated Chinese Medicine,41,0.7778
Q24,Staff value students’ views and opinions about the course,The College of Integrated Chinese Medicine,41,0.6296
Q25,It is clear how students’ feedback on the course has been acted on,The College of Integrated Chinese Medicine,41,0.5926
Q26,The students’ union (association or guild) effectively represents students’ academic interests,The College of Integrated Chinese Medicine,41,0.5238
Q27,"Overall, I am satisfied with the quality of the course",The College of Integrated Chinese Medicine,41,0.8519
Q01,Staff are good at explaining things,Inter-ED UK Limited,49,0.907
Q02,Staff have made the subject interesting,Inter-ED UK Limited,49,0.9302
Q03,The course is intellectually stimulating,Inter-ED UK Limited,49,0.9535
Q04,My course has challenged me to achieve my best work,Inter-ED UK Limited,49,0.9302
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,Inter-ED UK Limited,49,0.907
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,Inter-ED UK Limited,49,0.907
Q07,My course has provided me with opportunities to apply what I have learnt,Inter-ED UK Limited,49,1
Q08,The criteria used in marking have been clear in advance,Inter-ED UK Limited,49,0.8372
Q09,Marking and assessment has been fair,Inter-ED UK Limited,49,0.7907
Q10,Feedback on my work has been timely,Inter-ED UK Limited,49,0.7907
Q11,I have received helpful comments on my work,Inter-ED UK Limited,49,0.814
Q12,I have been able to contact staff when I needed to,Inter-ED UK Limited,49,0.9767
Q13,I have received sufficient advice and guidance in relation to my course,Inter-ED UK Limited,49,0.9302
Q14,Good advice was available when I needed to make study choices on my course,Inter-ED UK Limited,49,0.8571
Q15,The course is well organised and running smoothly,Inter-ED UK Limited,49,0.7674
Q16,The timetable works efficiently for me,Inter-ED UK Limited,49,0.7907
Q17,Any changes in the course or teaching have been communicated effectively,Inter-ED UK Limited,49,0.814
Q18,The IT resources and facilities provided have supported my learning well,Inter-ED UK Limited,49,0.7561
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",Inter-ED UK Limited,49,0.8333
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",Inter-ED UK Limited,49,0.7907
Q21,I feel part of a community of staff and students,Inter-ED UK Limited,49,0.8605
Q22,I have had the right opportunities to work with other students as part of my course,Inter-ED UK Limited,49,0.9302
Q23,I have had the right opportunities to provide feedback on my course,Inter-ED UK Limited,49,0.8605
Q24,Staff value students’ views and opinions about the course,Inter-ED UK Limited,49,0.814
Q25,It is clear how students’ feedback on the course has been acted on,Inter-ED UK Limited,49,0.7907
Q26,The students’ union (association or guild) effectively represents students’ academic interests,Inter-ED UK Limited,49,0.7561
Q27,"Overall, I am satisfied with the quality of the course",Inter-ED UK Limited,49,0.8605
Q01,Staff are good at explaining things,International College of Oriental Medicine (U.K.) Limited(The),15,1
Q02,Staff have made the subject interesting,International College of Oriental Medicine (U.K.) Limited(The),15,1
Q03,The course is intellectually stimulating,International College of Oriental Medicine (U.K.) Limited(The),15,1
Q04,My course has challenged me to achieve my best work,International College of Oriental Medicine (U.K.) Limited(The),15,1
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,International College of Oriental Medicine (U.K.) Limited(The),15,1
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,International College of Oriental Medicine (U.K.) Limited(The),15,1
Q07,My course has provided me with opportunities to apply what I have learnt,International College of Oriental Medicine (U.K.) Limited(The),15,1
Q08,The criteria used in marking have been clear in advance,International College of Oriental Medicine (U.K.) Limited(The),15,1
Q09,Marking and assessment has been fair,International College of Oriental Medicine (U.K.) Limited(The),15,1
Q10,Feedback on my work has been timely,International College of Oriental Medicine (U.K.) Limited(The),15,1
Q11,I have received helpful comments on my work,International College of Oriental Medicine (U.K.) Limited(The),15,1
Q12,I have been able to contact staff when I needed to,International College of Oriental Medicine (U.K.) Limited(The),15,1
Q13,I have received sufficient advice and guidance in relation to my course,International College of Oriental Medicine (U.K.) Limited(The),15,1
Q14,Good advice was available when I needed to make study choices on my course,International College of Oriental Medicine (U.K.) Limited(The),15,0.9286
Q15,The course is well organised and running smoothly,International College of Oriental Medicine (U.K.) Limited(The),15,1
Q16,The timetable works efficiently for me,International College of Oriental Medicine (U.K.) Limited(The),15,1
Q17,Any changes in the course or teaching have been communicated effectively,International College of Oriental Medicine (U.K.) Limited(The),15,0.9286
Q18,The IT resources and facilities provided have supported my learning well,International College of Oriental Medicine (U.K.) Limited(The),15,0.7273
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",International College of Oriental Medicine (U.K.) Limited(The),15,0.9231
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",International College of Oriental Medicine (U.K.) Limited(The),15,0.7692
Q21,I feel part of a community of staff and students,International College of Oriental Medicine (U.K.) Limited(The),15,1
Q22,I have had the right opportunities to work with other students as part of my course,International College of Oriental Medicine (U.K.) Limited(The),15,1
Q23,I have had the right opportunities to provide feedback on my course,International College of Oriental Medicine (U.K.) Limited(The),15,0.8571
Q24,Staff value students’ views and opinions about the course,International College of Oriental Medicine (U.K.) Limited(The),15,1
Q25,It is clear how students’ feedback on the course has been acted on,International College of Oriental Medicine (U.K.) Limited(The),15,0.9286
Q26,The students’ union (association or guild) effectively represents students’ academic interests,International College of Oriental Medicine (U.K.) Limited(The),15,0.75
Q27,"Overall, I am satisfied with the quality of the course",International College of Oriental Medicine (U.K.) Limited(The),15,1
Q01,Staff are good at explaining things,Irshad Trust,11,1
Q02,Staff have made the subject interesting,Irshad Trust,11,1
Q03,The course is intellectually stimulating,Irshad Trust,11,1
Q04,My course has challenged me to achieve my best work,Irshad Trust,11,0.8
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,Irshad Trust,11,1
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,Irshad Trust,11,1
Q07,My course has provided me with opportunities to apply what I have learnt,Irshad Trust,11,0.8
Q08,The criteria used in marking have been clear in advance,Irshad Trust,11,0.7
Q09,Marking and assessment has been fair,Irshad Trust,11,0.5
Q10,Feedback on my work has been timely,Irshad Trust,11,0.8
Q11,I have received helpful comments on my work,Irshad Trust,11,0.8
Q12,I have been able to contact staff when I needed to,Irshad Trust,11,0.8
Q13,I have received sufficient advice and guidance in relation to my course,Irshad Trust,11,0.9
Q14,Good advice was available when I needed to make study choices on my course,Irshad Trust,11,0.8
Q15,The course is well organised and running smoothly,Irshad Trust,11,0.5
Q16,The timetable works efficiently for me,Irshad Trust,11,0.9
Q17,Any changes in the course or teaching have been communicated effectively,Irshad Trust,11,0.8
Q18,The IT resources and facilities provided have supported my learning well,Irshad Trust,11,0.9
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",Irshad Trust,11,1
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",Irshad Trust,11,0.7
Q21,I feel part of a community of staff and students,Irshad Trust,11,0.9
Q22,I have had the right opportunities to work with other students as part of my course,Irshad Trust,11,1
Q23,I have had the right opportunities to provide feedback on my course,Irshad Trust,11,0.7778
Q24,Staff value students’ views and opinions about the course,Irshad Trust,11,0.8
Q25,It is clear how students’ feedback on the course has been acted on,Irshad Trust,11,0.7
Q26,The students’ union (association or guild) effectively represents students’ academic interests,Irshad Trust,11,0.8
Q27,"Overall, I am satisfied with the quality of the course",Irshad Trust,11,0.9
Q01,Staff are good at explaining things,Istituto Marangoni Limited,149,0.874
Q02,Staff have made the subject interesting,Istituto Marangoni Limited,149,0.7795
Q03,The course is intellectually stimulating,Istituto Marangoni Limited,149,0.7874
Q04,My course has challenged me to achieve my best work,Istituto Marangoni Limited,149,0.7874
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,Istituto Marangoni Limited,149,0.8583
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,Istituto Marangoni Limited,149,0.9213
Q07,My course has provided me with opportunities to apply what I have learnt,Istituto Marangoni Limited,149,0.8425
Q08,The criteria used in marking have been clear in advance,Istituto Marangoni Limited,149,0.7008
Q09,Marking and assessment has been fair,Istituto Marangoni Limited,149,0.6825
Q10,Feedback on my work has been timely,Istituto Marangoni Limited,149,0.7874
Q11,I have received helpful comments on my work,Istituto Marangoni Limited,149,0.7953
Q12,I have been able to contact staff when I needed to,Istituto Marangoni Limited,149,0.8968
Q13,I have received sufficient advice and guidance in relation to my course,Istituto Marangoni Limited,149,0.8425
Q14,Good advice was available when I needed to make study choices on my course,Istituto Marangoni Limited,149,0.816
Q15,The course is well organised and running smoothly,Istituto Marangoni Limited,149,0.6299
Q16,The timetable works efficiently for me,Istituto Marangoni Limited,149,0.7638
Q17,Any changes in the course or teaching have been communicated effectively,Istituto Marangoni Limited,149,0.7795
Q18,The IT resources and facilities provided have supported my learning well,Istituto Marangoni Limited,149,0.7953
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",Istituto Marangoni Limited,149,0.811
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",Istituto Marangoni Limited,149,0.8016
Q21,I feel part of a community of staff and students,Istituto Marangoni Limited,149,0.7381
Q22,I have had the right opportunities to work with other students as part of my course,Istituto Marangoni Limited,149,0.728
Q23,I have had the right opportunities to provide feedback on my course,Istituto Marangoni Limited,149,0.8425
Q24,Staff value students’ views and opinions about the course,Istituto Marangoni Limited,149,0.7953
Q25,It is clear how students’ feedback on the course has been acted on,Istituto Marangoni Limited,149,0.8189
Q26,The students’ union (association or guild) effectively represents students’ academic interests,Istituto Marangoni Limited,149,0.6148
Q27,"Overall, I am satisfied with the quality of the course",Istituto Marangoni Limited,149,0.7559
Q01,Staff are good at explaining things,Kaplan Open Learning (Essex) Limited,142,0.8713
Q02,Staff have made the subject interesting,Kaplan Open Learning (Essex) Limited,142,0.8119
Q03,The course is intellectually stimulating,Kaplan Open Learning (Essex) Limited,142,0.8812
Q04,My course has challenged me to achieve my best work,Kaplan Open Learning (Essex) Limited,142,0.8416
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,Kaplan Open Learning (Essex) Limited,142,0.9307
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,Kaplan Open Learning (Essex) Limited,142,0.8911
Q07,My course has provided me with opportunities to apply what I have learnt,Kaplan Open Learning (Essex) Limited,142,0.86
Q08,The criteria used in marking have been clear in advance,Kaplan Open Learning (Essex) Limited,142,0.8416
Q09,Marking and assessment has been fair,Kaplan Open Learning (Essex) Limited,142,0.72
Q10,Feedback on my work has been timely,Kaplan Open Learning (Essex) Limited,142,0.9703
Q11,I have received helpful comments on my work,Kaplan Open Learning (Essex) Limited,142,0.8713
Q12,I have been able to contact staff when I needed to,Kaplan Open Learning (Essex) Limited,142,0.9406
Q13,I have received sufficient advice and guidance in relation to my course,Kaplan Open Learning (Essex) Limited,142,0.7921
Q14,Good advice was available when I needed to make study choices on my course,Kaplan Open Learning (Essex) Limited,142,0.7684
Q15,The course is well organised and running smoothly,Kaplan Open Learning (Essex) Limited,142,0.8713
Q16,The timetable works efficiently for me,Kaplan Open Learning (Essex) Limited,142,0.82
Q17,Any changes in the course or teaching have been communicated effectively,Kaplan Open Learning (Essex) Limited,142,0.92
Q18,The IT resources and facilities provided have supported my learning well,Kaplan Open Learning (Essex) Limited,142,0.8182
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",Kaplan Open Learning (Essex) Limited,142,0.7129
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",Kaplan Open Learning (Essex) Limited,142,0.77
Q21,I feel part of a community of staff and students,Kaplan Open Learning (Essex) Limited,142,0.5408
Q22,I have had the right opportunities to work with other students as part of my course,Kaplan Open Learning (Essex) Limited,142,0.7021
Q23,I have had the right opportunities to provide feedback on my course,Kaplan Open Learning (Essex) Limited,142,0.8812
Q24,Staff value students’ views and opinions about the course,Kaplan Open Learning (Essex) Limited,142,0.6837
Q25,It is clear how students’ feedback on the course has been acted on,Kaplan Open Learning (Essex) Limited,142,0.5253
Q26,The students’ union (association or guild) effectively represents students’ academic interests,Kaplan Open Learning (Essex) Limited,142,0.4884
Q27,"Overall, I am satisfied with the quality of the course",Kaplan Open Learning (Essex) Limited,142,0.8911
Q01,Staff are good at explaining things,University of Keele,1994,0.9084
Q02,Staff have made the subject interesting,University of Keele,1994,0.8324
Q03,The course is intellectually stimulating,University of Keele,1994,0.8738
Q04,My course has challenged me to achieve my best work,University of Keele,1994,0.7986
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,University of Keele,1994,0.8396
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,University of Keele,1994,0.8553
Q07,My course has provided me with opportunities to apply what I have learnt,University of Keele,1994,0.8304
Q08,The criteria used in marking have been clear in advance,University of Keele,1994,0.7275
Q09,Marking and assessment has been fair,University of Keele,1994,0.7134
Q10,Feedback on my work has been timely,University of Keele,1994,0.7019
Q11,I have received helpful comments on my work,University of Keele,1994,0.7383
Q12,I have been able to contact staff when I needed to,University of Keele,1994,0.8664
Q13,I have received sufficient advice and guidance in relation to my course,University of Keele,1994,0.7983
Q14,Good advice was available when I needed to make study choices on my course,University of Keele,1994,0.7546
Q15,The course is well organised and running smoothly,University of Keele,1994,0.6934
Q16,The timetable works efficiently for me,University of Keele,1994,0.7509
Q17,Any changes in the course or teaching have been communicated effectively,University of Keele,1994,0.7367
Q18,The IT resources and facilities provided have supported my learning well,University of Keele,1994,0.8649
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",University of Keele,1994,0.9042
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",University of Keele,1994,0.9035
Q21,I feel part of a community of staff and students,University of Keele,1994,0.6887
Q22,I have had the right opportunities to work with other students as part of my course,University of Keele,1994,0.8641
Q23,I have had the right opportunities to provide feedback on my course,University of Keele,1994,0.8829
Q24,Staff value students’ views and opinions about the course,University of Keele,1994,0.7525
Q25,It is clear how students’ feedback on the course has been acted on,University of Keele,1994,0.589
Q26,The students’ union (association or guild) effectively represents students’ academic interests,University of Keele,1994,0.6003
Q27,"Overall, I am satisfied with the quality of the course",University of Keele,1994,0.8507
Q01,Staff are good at explaining things,Kendal College,23,0.9333
Q02,Staff have made the subject interesting,Kendal College,23,0.8667
Q03,The course is intellectually stimulating,Kendal College,23,1
Q04,My course has challenged me to achieve my best work,Kendal College,23,0.7333
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,Kendal College,23,0.9333
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,Kendal College,23,0.9333
Q07,My course has provided me with opportunities to apply what I have learnt,Kendal College,23,0.9333
Q08,The criteria used in marking have been clear in advance,Kendal College,23,0.7333
Q09,Marking and assessment has been fair,Kendal College,23,0.8667
Q10,Feedback on my work has been timely,Kendal College,23,0.8667
Q11,I have received helpful comments on my work,Kendal College,23,0.7333
Q12,I have been able to contact staff when I needed to,Kendal College,23,0.6
Q13,I have received sufficient advice and guidance in relation to my course,Kendal College,23,0.8
Q14,Good advice was available when I needed to make study choices on my course,Kendal College,23,0.8
Q15,The course is well organised and running smoothly,Kendal College,23,0.5333
Q16,The timetable works efficiently for me,Kendal College,23,0.7333
Q17,Any changes in the course or teaching have been communicated effectively,Kendal College,23,0.5714
Q18,The IT resources and facilities provided have supported my learning well,Kendal College,23,0.6667
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",Kendal College,23,0.5333
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",Kendal College,23,0.5714
Q21,I feel part of a community of staff and students,Kendal College,23,0.8
Q22,I have had the right opportunities to work with other students as part of my course,Kendal College,23,0.8667
Q23,I have had the right opportunities to provide feedback on my course,Kendal College,23,0.6667
Q24,Staff value students’ views and opinions about the course,Kendal College,23,0.8571
Q25,It is clear how students’ feedback on the course has been acted on,Kendal College,23,0.5
Q26,The students’ union (association or guild) effectively represents students’ academic interests,Kendal College,23,0.4545
Q27,"Overall, I am satisfied with the quality of the course",Kendal College,23,0.8667
Q01,Staff are good at explaining things,Kensington Education Foundation Limited,177,0.8783
Q02,Staff have made the subject interesting,Kensington Education Foundation Limited,177,0.8696
Q03,The course is intellectually stimulating,Kensington Education Foundation Limited,177,0.8957
Q04,My course has challenged me to achieve my best work,Kensington Education Foundation Limited,177,0.8957
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,Kensington Education Foundation Limited,177,0.8522
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,Kensington Education Foundation Limited,177,0.8609
Q07,My course has provided me with opportunities to apply what I have learnt,Kensington Education Foundation Limited,177,0.8609
Q08,The criteria used in marking have been clear in advance,Kensington Education Foundation Limited,177,0.887
Q09,Marking and assessment has been fair,Kensington Education Foundation Limited,177,0.887
Q10,Feedback on my work has been timely,Kensington Education Foundation Limited,177,0.887
Q11,I have received helpful comments on my work,Kensington Education Foundation Limited,177,0.913
Q12,I have been able to contact staff when I needed to,Kensington Education Foundation Limited,177,0.7913
Q13,I have received sufficient advice and guidance in relation to my course,Kensington Education Foundation Limited,177,0.8522
Q14,Good advice was available when I needed to make study choices on my course,Kensington Education Foundation Limited,177,0.8609
Q15,The course is well organised and running smoothly,Kensington Education Foundation Limited,177,0.8
Q16,The timetable works efficiently for me,Kensington Education Foundation Limited,177,0.7913
Q17,Any changes in the course or teaching have been communicated effectively,Kensington Education Foundation Limited,177,0.7565
Q18,The IT resources and facilities provided have supported my learning well,Kensington Education Foundation Limited,177,0.7826
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",Kensington Education Foundation Limited,177,0.8772
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",Kensington Education Foundation Limited,177,0.8421
Q21,I feel part of a community of staff and students,Kensington Education Foundation Limited,177,0.8522
Q22,I have had the right opportunities to work with other students as part of my course,Kensington Education Foundation Limited,177,0.886
Q23,I have had the right opportunities to provide feedback on my course,Kensington Education Foundation Limited,177,0.8783
Q24,Staff value students’ views and opinions about the course,Kensington Education Foundation Limited,177,0.8246
Q25,It is clear how students’ feedback on the course has been acted on,Kensington Education Foundation Limited,177,0.8348
Q26,The students’ union (association or guild) effectively represents students’ academic interests,Kensington Education Foundation Limited,177,0.6964
Q27,"Overall, I am satisfied with the quality of the course",Kensington Education Foundation Limited,177,0.8435
Q01,Staff are good at explaining things,The University of Kent,4445,0.8993
Q02,Staff have made the subject interesting,The University of Kent,4445,0.8006
Q03,The course is intellectually stimulating,The University of Kent,4445,0.853
Q04,My course has challenged me to achieve my best work,The University of Kent,4445,0.7878
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,The University of Kent,4445,0.8229
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,The University of Kent,4445,0.8414
Q07,My course has provided me with opportunities to apply what I have learnt,The University of Kent,4445,0.7713
Q08,The criteria used in marking have been clear in advance,The University of Kent,4445,0.685
Q09,Marking and assessment has been fair,The University of Kent,4445,0.7195
Q10,Feedback on my work has been timely,The University of Kent,4445,0.6838
Q11,I have received helpful comments on my work,The University of Kent,4445,0.6868
Q12,I have been able to contact staff when I needed to,The University of Kent,4445,0.8675
Q13,I have received sufficient advice and guidance in relation to my course,The University of Kent,4445,0.7575
Q14,Good advice was available when I needed to make study choices on my course,The University of Kent,4445,0.7113
Q15,The course is well organised and running smoothly,The University of Kent,4445,0.7229
Q16,The timetable works efficiently for me,The University of Kent,4445,0.7975
Q17,Any changes in the course or teaching have been communicated effectively,The University of Kent,4445,0.8014
Q18,The IT resources and facilities provided have supported my learning well,The University of Kent,4445,0.8678
