UKPRN,Provider name,Country of provider,Domicile,Level of qualification obtained,Mode of former study,Interim study,Age group,Activity,Academic year,Number
10003645,King's College London,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total,2021/22,730
10003678,Kingston University,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total,2021/22,225
10005451,Arden University,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total,2021/22,150
10007150,The University of Kent,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total,2021/22,200
10007767,Keele University,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total,2021/22,260
10007768,The University of Lancaster,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total,2021/22,160
10008899,The Ashridge (Bonar Law Memorial) Trust,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total,2021/22,45
10021682,Kaplan Open Learning (Essex) Limited,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total,2021/22,100
10029682,The Islamic College,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total,2021/22,5
10035638,Institute of Contemporary Music Performance,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total,2021/22,5
10000163,AECC University College,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total with known outcomes,2021/22,15
10000291,Anglia Ruskin University,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total with known outcomes,2021/22,330
10000415,Askham Bryan College,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total with known outcomes,2021/22,0
10003189,Kirklees College,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total with known outcomes,2021/22,0
10003212,Hult International Business School Ltd,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total with known outcomes,2021/22,5
10003645,King's College London,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total with known outcomes,2021/22,405
10003678,Kingston University,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total with known outcomes,2021/22,135
10005451,Arden University,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total with known outcomes,2021/22,95
10007150,The University of Kent,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total with known outcomes,2021/22,105
10007767,Keele University,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total with known outcomes,2021/22,160
10007768,The University of Lancaster,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total with known outcomes,2021/22,105
10008899,The Ashridge (Bonar Law Memorial) Trust,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total with known outcomes,2021/22,15
10021682,Kaplan Open Learning (Essex) Limited,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total with known outcomes,2021/22,50
10029682,The Islamic College,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total with known outcomes,2021/22,0
10035638,Institute of Contemporary Music Performance,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total with known outcomes,2021/22,0
10000163,AECC University College,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unemployed,2021/22,0
10000291,Anglia Ruskin University,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unemployed,2021/22,0
10000415,Askham Bryan College,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unemployed,2021/22,0
10003189,Kirklees College,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unemployed,2021/22,0
10003212,Hult International Business School Ltd,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unemployed,2021/22,0
10003645,King's College London,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unemployed,2021/22,10
10003678,Kingston University,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unemployed,2021/22,5
10005451,Arden University,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unemployed,2021/22,5
10007150,The University of Kent,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unemployed,2021/22,0
10007767,Keele University,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unemployed,2021/22,0
10007768,The University of Lancaster,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unemployed,2021/22,0
10008899,The Ashridge (Bonar Law Memorial) Trust,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unemployed,2021/22,0
10021682,Kaplan Open Learning (Essex) Limited,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unemployed,2021/22,0
10029682,The Islamic College,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unemployed,2021/22,0
10035638,Institute of Contemporary Music Performance,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unemployed,2021/22,0
10000163,AECC University College,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of employment,2021/22,0
10000291,Anglia Ruskin University,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of employment,2021/22,0
10000415,Askham Bryan College,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of employment,2021/22,0
10003189,Kirklees College,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of employment,2021/22,0
10003212,Hult International Business School Ltd,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of employment,2021/22,0
10003645,King's College London,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of employment,2021/22,0
10003678,Kingston University,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of employment,2021/22,0
10005451,Arden University,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of employment,2021/22,5
10007150,The University of Kent,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of employment,2021/22,0
10007767,Keele University,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of employment,2021/22,0
10007768,The University of Lancaster,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of employment,2021/22,0
10008899,The Ashridge (Bonar Law Memorial) Trust,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of employment,2021/22,0
10021682,Kaplan Open Learning (Essex) Limited,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of employment,2021/22,0
10029682,The Islamic College,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of employment,2021/22,0
10035638,Institute of Contemporary Music Performance,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of employment,2021/22,0
10000163,AECC University College,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of further study,2021/22,0
10000291,Anglia Ruskin University,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of further study,2021/22,0
10000415,Askham Bryan College,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of further study,2021/22,0
10003189,Kirklees College,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of further study,2021/22,0
10003212,Hult International Business School Ltd,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of further study,2021/22,0
10003645,King's College London,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of further study,2021/22,0
10003678,Kingston University,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of further study,2021/22,0
10005451,Arden University,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of further study,2021/22,0
10007150,The University of Kent,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of further study,2021/22,0
10007767,Keele University,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of further study,2021/22,0
10007768,The University of Lancaster,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of further study,2021/22,0
10008899,The Ashridge (Bonar Law Memorial) Trust,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of further study,2021/22,0
10021682,Kaplan Open Learning (Essex) Limited,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of further study,2021/22,0
10029682,The Islamic College,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of further study,2021/22,0
10035638,Institute of Contemporary Music Performance,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of further study,2021/22,0
10000163,AECC University College,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Voluntary or unpaid work,2021/22,0
10000291,Anglia Ruskin University,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Voluntary or unpaid work,2021/22,0
10000415,Askham Bryan College,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Voluntary or unpaid work,2021/22,0
10003189,Kirklees College,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Voluntary or unpaid work,2021/22,0
10003212,Hult International Business School Ltd,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Voluntary or unpaid work,2021/22,0
10003645,King's College London,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Voluntary or unpaid work,2021/22,5
10003678,Kingston University,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Voluntary or unpaid work,2021/22,0
10005451,Arden University,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Voluntary or unpaid work,2021/22,0
10007150,The University of Kent,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Voluntary or unpaid work,2021/22,0
10007767,Keele University,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Voluntary or unpaid work,2021/22,0
10007768,The University of Lancaster,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Voluntary or unpaid work,2021/22,0
10008899,The Ashridge (Bonar Law Memorial) Trust,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Voluntary or unpaid work,2021/22,0
10021682,Kaplan Open Learning (Essex) Limited,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Voluntary or unpaid work,2021/22,0
10029682,The Islamic College,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Voluntary or unpaid work,2021/22,0
10035638,Institute of Contemporary Music Performance,England,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Voluntary or unpaid work,2021/22,0
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Employment and further study,2021/22,0
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Full-time employment,2021/22,5
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Full-time further study,2021/22,0
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Non-respondents,2021/22,0
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,"Other including travel, caring for someone or retired",2021/22,0
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Part-time employment,2021/22,0
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Part-time further study,2021/22,0
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Total,2021/22,5
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Total with known outcomes,2021/22,5
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Unemployed,2021/22,0
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Unknown pattern of employment,2021/22,0
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Unknown pattern of further study,2021/22,0
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Voluntary or unpaid work,2021/22,0
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Employment and further study,2021/22,0
10007849,Abertay University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Employment and further study,2021/22,0
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Full-time employment,2021/22,20
10007849,Abertay University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Full-time employment,2021/22,0
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Full-time further study,2021/22,0
10007849,Abertay University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Full-time further study,2021/22,0
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Non-respondents,2021/22,15
10007849,Abertay University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Non-respondents,2021/22,5
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,"Other including travel, caring for someone or retired",2021/22,0
10007849,Abertay University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,"Other including travel, caring for someone or retired",2021/22,0
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Part-time employment,2021/22,0
10007849,Abertay University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Part-time employment,2021/22,0
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Part-time further study,2021/22,0
10007849,Abertay University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Part-time further study,2021/22,0
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Total,2021/22,35
10007849,Abertay University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Total,2021/22,5
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Total with known outcomes,2021/22,20
10007849,Abertay University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Total with known outcomes,2021/22,0
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Unemployed,2021/22,0
10007849,Abertay University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Unemployed,2021/22,0
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Unknown pattern of employment,2021/22,0
10007849,Abertay University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Unknown pattern of employment,2021/22,0
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Unknown pattern of further study,2021/22,0
10007849,Abertay University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Unknown pattern of further study,2021/22,0
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Voluntary or unpaid work,2021/22,0
10007849,Abertay University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Voluntary or unpaid work,2021/22,0
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Employment and further study,2021/22,20
10007849,Abertay University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Employment and further study,2021/22,5
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Full-time employment,2021/22,75
10007849,Abertay University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Full-time employment,2021/22,5
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Full-time further study,2021/22,0
10007849,Abertay University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Full-time further study,2021/22,0
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Non-respondents,2021/22,55
10007849,Abertay University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Non-respondents,2021/22,20
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,"Other including travel, caring for someone or retired",2021/22,15
10007849,Abertay University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,"Other including travel, caring for someone or retired",2021/22,5
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Part-time employment,2021/22,30
10007849,Abertay University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Part-time employment,2021/22,15
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Part-time further study,2021/22,0
10007849,Abertay University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Part-time further study,2021/22,0
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total,2021/22,200
10007849,Abertay University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total,2021/22,50
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total with known outcomes,2021/22,145
10007849,Abertay University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total with known outcomes,2021/22,30
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unemployed,2021/22,0
10007849,Abertay University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unemployed,2021/22,0
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of employment,2021/22,0
10007849,Abertay University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of employment,2021/22,0
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of further study,2021/22,0
10007849,Abertay University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of further study,2021/22,0
10007783,The University of Aberdeen,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Voluntary or unpaid work,2021/22,0
10007849,Abertay University,Scotland,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Voluntary or unpaid work,2021/22,0
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Employment and further study,2021/22,0
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Full-time employment,2021/22,0
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Full-time further study,2021/22,0
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Non-respondents,2021/22,0
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,"Other including travel, caring for someone or retired",2021/22,0
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Part-time employment,2021/22,0
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Part-time further study,2021/22,0
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Total,2021/22,5
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Total with known outcomes,2021/22,0
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Unemployed,2021/22,0
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Unknown pattern of employment,2021/22,0
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Unknown pattern of further study,2021/22,0
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,21-24 years,Voluntary or unpaid work,2021/22,0
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Employment and further study,2021/22,5
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Full-time employment,2021/22,5
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Full-time further study,2021/22,0
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Non-respondents,2021/22,0
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,"Other including travel, caring for someone or retired",2021/22,0
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Part-time employment,2021/22,0
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Part-time further study,2021/22,0
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Total,2021/22,10
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Total with known outcomes,2021/22,10
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Unemployed,2021/22,0
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Unknown pattern of employment,2021/22,0
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Unknown pattern of further study,2021/22,0
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,25-29 years,Voluntary or unpaid work,2021/22,0
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Employment and further study,2021/22,0
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Full-time employment,2021/22,30
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Full-time further study,2021/22,0
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Non-respondents,2021/22,25
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,"Other including travel, caring for someone or retired",2021/22,5
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Part-time employment,2021/22,15
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Part-time further study,2021/22,0
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total,2021/22,80
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Total with known outcomes,2021/22,50
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unemployed,2021/22,0
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of employment,2021/22,0
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Unknown pattern of further study,2021/22,0
10007856,Aberystwyth University,Wales,UK,Postgraduate,Part-time,Exclude significant interim study,30 years and over,Voluntary or unpaid work,2021/22,0
10000291,Anglia Ruskin University,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Employment and further study,2021/22,10
10000381,Arts Educational Schools,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Employment and further study,2021/22,5
10000415,Askham Bryan College,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Employment and further study,2021/22,0
10003189,Kirklees College,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Employment and further study,2021/22,0
10003558,Kendal College,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Employment and further study,2021/22,0
10003645,King's College London,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Employment and further study,2021/22,15
10003676,Kingston Maurward College,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Employment and further study,2021/22,0
10003678,Kingston University,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Employment and further study,2021/22,15
10003753,Lakes College West Cumbria,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Employment and further study,2021/22,5
10003758,LAMDA Limited,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Employment and further study,2021/22,0
10003854,Leeds Arts University,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Employment and further study,2021/22,0
10004927,Activate Learning,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Employment and further study,2021/22,5
10005451,Arden University,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Employment and further study,2021/22,0
10007150,The University of Kent,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Employment and further study,2021/22,10
10007767,Keele University,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Employment and further study,2021/22,5
10007768,The University of Lancaster,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Employment and further study,2021/22,10
10008071,AA School of Architecture,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Employment and further study,2021/22,0
10035638,Institute of Contemporary Music Performance,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Employment and further study,2021/22,0
10067853,ACM Guildford Limited,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Employment and further study,2021/22,5
10082570,Kaplan International Colleges U.K. Limited,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Employment and further study,2021/22,0
10000291,Anglia Ruskin University,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time employment,2021/22,15
10000381,Arts Educational Schools,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time employment,2021/22,5
10000415,Askham Bryan College,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time employment,2021/22,5
10003189,Kirklees College,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time employment,2021/22,0
10003558,Kendal College,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time employment,2021/22,0
10003645,King's College London,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time employment,2021/22,15
10003676,Kingston Maurward College,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time employment,2021/22,0
10003678,Kingston University,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time employment,2021/22,20
10003753,Lakes College West Cumbria,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time employment,2021/22,0
10003758,LAMDA Limited,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time employment,2021/22,5
10003854,Leeds Arts University,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time employment,2021/22,10
10004927,Activate Learning,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time employment,2021/22,5
10005451,Arden University,England,UK,Undergraduate,Full-time,Exclude significant interim study,20 and under,Full-time employment,2021/22,0
